Make,Fuel,EngineCylinders,AverageHighwayMPG,AverageCityMPG
Audi,Gasoline,4,30,23
Audi,Gasoline,6,27,19
Audi,Gasoline,8,26,17
Audi,Gasoline,10,22,14
Audi,Gasoline,4,32,24
BMW,Diesel,4,41,30
BMW,Diesel,6,29,23
BMW,Electricity,0,109,133
BMW,Gasoline,2,33,36
BMW,Gasoline,3,29,28
BMW,Gasoline,4,32,23
BMW,Gasoline,6,28,19
BMW,Gasoline,8,23,15
BMW,Gasoline,12,20,13
Cadillac,Gasoline,4,30,22
Cadillac,Gasoline,6,25,17
Cadillac,Gasoline,8,21,14
Cadillac,Gasoline,4,32,22
Cadillac,Gasoline,6,26,18
Cadillac,Gasoline,8,21,15
Chevrolet,Diesel,4,29,21
Chevrolet,Electricity,0,110,128
Chevrolet,Gasoline,4,31,21
Chevrolet,Gasoline,8,23,15
Chevrolet,Gasoline,4,34,27
Chevrolet,Gasoline,6,24,17
Chevrolet,Gasoline,8,21,15
Dodge,Gasoline,8,24,15
Dodge,Gasoline,8,23,14
Dodge,Gasoline,10,19,12
Dodge,Gasoline,4,25,19
Dodge,Gasoline,6,27,18
Ford,Electricity,0,96,118
Ford,Gasoline,4,25,19
Ford,Gasoline,6,18,11
Ford,Gasoline,8,21,14
Ford,Gasoline,3,40,29
Ford,Gasoline,4,31,24
Ford,Gasoline,6,23,17
Ford,Gasoline,8,22,15
Jeep,Gasoline,6,27,19
Jeep,Gasoline,8,22,14
Jeep,Gasoline,4,31,24
Jeep,Gasoline,8,19,13
Jeep,Gasoline,4,27,21
Jeep,Gasoline,6,22,17
Lexus,Gasoline,4,30,22
Lexus,Gasoline,6,28,21
Lexus,Gasoline,8,22,16
Lexus,Gasoline,4,36,39
Lexus,Gasoline,6,28,20
Mercedes-Benz,Electricity,0,82,85
Mercedes-Benz,Gasoline,4,30,23
Mercedes-Benz,Gasoline,6,25,19
Mercedes-Benz,Gasoline,8,22,16
Mercedes-Benz,Gasoline,12,20,13
Nissan,Electricity,0,101,124
Nissan,Gasoline,4,31,26
Nissan,Gasoline,6,26,18
Nissan,Gasoline,4,33,26
Nissan,Gasoline,6,25,18
Nissan,Gasoline,8,20,14
